MRN,Last Name,First Name,DOB,Sex,Email,Insurance,Member #,Coverage Start,Coverage End,Allergies,SSN,Problem List
204000,Thorne,Bjorn,1990-08-20,M,bjorn.thorne@example.com,Humana,H8484689,2024-02-27,,Latex,900-29-3366,E11.9; I10
204001,Aguilar,Nora,1955-12-31,F,,United Healthcare,93730915,2023-02-17,,,,I10
204002,Petrov,Anya,2002-02-21,F,anya.petrov@example.com,Humana,H5883732,2023-12-04,,Sulfa drugs; NSAIDs,900-13-3108,
204003,Petrov,Luz,1983-11-26,Female,luz.petrov@mail.example.net,Aetna,W2803590,2024-12-21,,NSAIDs; Peanuts,900-96-3557,I10
204004,Kowalski,Haruki,1957-11-08,M,haruki.kowalski@example.org,BCBS TX,ZGP7553074,2023-07-05,,Penicillin; Sulfa drugs,900-84-7239,I10
204005,Vasquez,Chidi,2018-09-02,M,chidi.vasquez@example.com,UHC,93554577,2025-03-09,,,900-86-3872,
204006,Osei,Anya,2013-07-03,F,,Blue Cross Blue Shield of Texas,ZGP3438001,2026-05-08,,,,I10
204007,Petrov,Ruben,1952-07-19,M,ruben.petrov@example.com,Humana,H9623743,2024-03-03,,Penicillin; Sulfa drugs,900-88-6456,
204008,Delacroix,Cordelia,2007-08-15,F,cordelia.delacroix@mail.example.net,Blue Cross Blue Shield of Texas,ZGP9336753,2026-04-23,2026-06-10,,900-18-4058,I10
204009,Halvorsen,Cordelia,1985-06-03,F,,UHC,91085787,2025-04-17,,,900-18-2410,I10
204010,Ionescu,Adriana,2011-11-18,F,,United Healthcare,97955138,2025-06-27,2026-09-29,"Latex, Penicillin",900-18-6880,I10
204011,Escobar,Naledi,1966-05-29,F,naledi.escobar@example.org,BCBS TX,ZGP9780294,2024-09-04,,Shellfish,900-27-9021,E11.9; I10
204012,Whitfield,Vera,2023-04-10,F,,Blue Cross Blue Shield of Texas,ZGP9532472,2024-05-02,2025-10-04,PCN,900-82-3223,I10; J45.909
204013,Halvorsen,Julien,1931-01-31,M,julien.halvorsen@example.com,BCBS TX,ZGP4648350,2026-03-06,,NKDA,900-54-1298,E11.9; I10; J45.909
204014,Halvorsen,Bjorn,1980-10-10,MALE,,Medicare,1EG41296761,2026-03-29,2027-07-01,Penicillin; Sulfa drugs,900-42-7646,
204015,Marchetti,Ximena,1990-09-29,F,ximena.marchetti@example.com,Blue Cross Blue Shield of Texas,ZGP9124917,2025-05-23,,Penicillin; Sulfa drugs,900-12-1339,
204016,Alvarez,Sigrid,2008-01-17,F,sigrid.alvarez@example.com,UHC,91024990,2024-11-12,,Penicillin; Peanuts; Latex,900-79-9532,J45.909
204017,Lindqvist,Thanh,2020-11-23,F,thanh.lindqvist@example.com,United Healthcare,95814081,2023-12-29,,"Latex, Penicillin",900-61-4955,
204018,Ridley,Adriana,1981-02-15,F,adriana.ridley@example.com,UHC,94565580,2024-04-19,,,900-38-9741,
204019,Castellanos,Luz,1960-04-09,F,luz.castellanos@mail.example.net,Cigna,U6345908,2026-01-25,,NKDA,900-78-2200,J45.909
204020,Castellanos,Giulia,1992-07-02,f,giulia.castellanos@example.com,UHC,93740940,2025-07-16,,,900-28-1571,E11.9; I10
