Staff No,Given Name,Family Name,Email,Team,Reports To,First Day,Hrs/Week
A-0001,Marta,Okafor,marta.okafor@harlowcourt.example,Front of House,Ines Duarte,2019-07-03,23.8
A-0002,Priya,Raman,priya.raman@harlowcourt.example,Housekeeping,Marta Okafor,2022-04-22,34.2
A-0003,Tomasz,Wieczorek,tomasz.wieczorek@harlowcourt.example,Maintenance,Marta Okafor,2026-02-10,23.7
A-0004,Ines,Duarte,ines.duarte@harlowcourt.example,Reception,Marta Okafor,2023-09-27,28.8
A-0005,Fiona,Eriksen,fiona.eriksen@harlowcourt.example,Housekeeping,Ines Duarte,2019-11-23,27.7
A-0006,Grigor,Fahey,grigor.fahey@harlowcourt.example,House Keeping,Priya Raman,2023-03-11,18
A-0007,Hana,Gallardo,hana.gallardo@harlowcourt.example,Front of House,M. Okafor,03/04/2026,28.1
A-0008,Iustin,Haugen,iustin.haugen@harlowcourt.example,House Keeping,Ines Duarte,2022-05-30,20.7
A-0009,Joana,Ivanova,joana.ivanova@harlowcourt.example,Front of House,Marta Okafor,2023-06-01,22.9
A-0010,Kwame,Jarrett,kwame.jarrett@harlowcourt.example,Back of House,Ines Duarte,2021-01-04,39.1
A-0011,Liesel,Kovac,liesel.kovac@harlowcourt.example,Reception,Priya Raman,2020-03-08,22.3
A-0012,Mira,Lindqvist,mira.lindqvist@harlowcourt.example,Reception,"Okafor, Marta",2025-03-31,16
A-0013,Nikola,Marchetti,nikola.marchetti@harlowcourt.example,Back-of-house,Ines Duarte,2025-10-07,27.8
A-0014,Oscar,Novak,oscar.novak@harlowcourt.example,Back-of-house,Marta Okafor,2021-02-28,36.4
A-0015,Petra,Ostrowski,petra.ostrowski@harlowcourt.example,Front of House,Priya Raman,2022-09-18,28.5
A-0016,Rafael,Pemberton,rafael.pemberton@harlowcourt.example,Reception,Tomasz Wieczorek,2020-09-06,18.5
A-0017,Saoirse,Quinlan,saoirse.quinlan@harlowcourt.example,House Keeping,Tomasz Wieczorek,2024-07-22,37.3
A-0018,Tevita,Rasmussen,tevita.rasmussen@harlowcourt.example,Front of House,Dana Whitfield,2021-05-30,27.3
A-0019,Ulla,Szabo,ulla.szabo@harlowcourt.example,Back of House,Priya Raman,2024-11-08,20.4
A-0020,Viktor,Tanaka,viktor.tanaka@harlowcourt.example,Housekeeping,Marta Okafor,2019-04-22,23.1
A-0021,Ana,Bergqvist,ana.bergqvist@harlowcourt.example,House Keeping,Ines Duarte,2019-11-30,30.6
A-0022,Callum,Cardoso,callum.cardoso@harlowcourt.example,House Keeping,Priya Raman,2023-04-09,22.3
A-0023,Dilara,Delaney,dilara.delaney@harlowcourt.example,Front of House,Marta Okafor,2025-01-13,38.4
A-0024,Emeka,Eriksen,emeka.eriksen@harlowcourt.example,FOH,Priya Raman,2025-08-14,19.7
A-0025,Fiona,Fahey,fiona.fahey@harlowcourt.example,Front Desk,Priya Raman,2023-01-05,26.4
A-0026,Grigor,Gallardo,grigor.gallardo@harlowcourt.example,Front of House,Marta Okafor,2025-05-08,38.4
A-0027,Hana,Haugen,hana.haugen@harlowcourt.example,Housekeeping,Tomasz Wieczorek,2023-07-24,23
A-0028,Iustin,Ivanova,iustin.ivanova@harlowcourt.example,Reception,Marta Okafor,2023-03-24,27.1
A-0029,Joana,Jarrett,joana.jarrett@harlowcourt.example,House Keeping,Tomasz Wieczorek,2024-09-04,32
A-0030,Kwame,Kovac,kwame.kovac@harlowcourt.example,Housekeping,Ines Duarte,2019-12-24,36.2
A-0031,Liesel,Lindqvist,liesel.lindqvist@harlowcourt.example,Maint.,Ines Duarte,2024-09-19,30.3
A-0032,Mira,Marchetti,mira.marchetti@harlowcourt.example,Front of House,Ines Duarte,2021-12-16,36
A-0033,Nikola,Novak,nikola.novak@harlowcourt.example,Housekeeping,Priya Raman,2020-07-12,34.9
A-0034,Oscar,Ostrowski,oscar.ostrowski@harlowcourt.example,Reception,Priya Raman,2025-11-18,21
A-0035,Petra,Pemberton,petra.pemberton@harlowcourt.example,Front of House,Ines Duarte,2024-03-17,27.4
A-0036,Rafael,Quinlan,rafael.quinlan@harlowcourt.example,House Keeping,Ines Duarte,03/04/26,28.4
A-0037,Saoirse,Rasmussen,saoirse.rasmussen@harlowcourt.example,Housekeeping,Tomasz Wieczorek,2022-04-10,20.6
A-0038,Tevita,Szabo,tevita.szabo@harlowcourt.example,Back of House,Marta Okafor,2025-07-09,21.9
A-0039,Ulla,Tanaka,ulla.tanaka@harlowcourt.example,Back-of-house,Marta Okafor,2021-09-25,17.8
A-0040,Viktor,Abara,viktor.abara@harlowcourt.example,Back-of-house,Marta Okafor,2025-08-04,33.8
A-0041,Ana,Cardoso,ana.cardoso@harlowcourt.example,Maintenance,Priya Raman,2021-02-24,39.9
A-0042,Callum,Delaney,callum.delaney@harlowcourt.example,Housekeeping,Tomasz Wieczorek,46085,32.6
A-0043,Dilara,Eriksen,dilara.eriksen@harlowcourt.example,House Keeping,Marta Okafor,2022-08-24,23.2
A-0044,Emeka,Fahey,emeka.fahey@harlowcourt.example,Front of House,Ines Duarte,2024-04-05,16.8
A-0045,Fiona,Gallardo,fiona.gallardo@harlowcourt.example,Reception,Tomasz Wieczorek,2025-04-21,16
A-0046,Grigor,Haugen,grigor.haugen@harlowcourt.example,Reception,Marta Okafor,2023-06-03,32.9
A-0047,Hana,Ivanova,hana.ivanova@harlowcourt.example,Housekeeping,Ines Duarte,2023-03-13,34.6
A-0048,Iustin,Jarrett,iustin.jarrett@harlowcourt.example,Reception,Priya Raman,2024-01-18,25
A-0049,Joana,Kovac,joana.kovac@harlowcourt.example,Housekeeping,Tomasz Wieczorek,2024-07-06,18.3
A-0050,Kwame,Lindqvist,kwame.lindqvist@harlowcourt.example,Back-of-house,Ines Duarte,2023-08-28,39.6
A-0051,Liesel,Marchetti,liesel.marchetti@harlowcourt.example,Housekeeping,Priya Raman,2024-12-01,23.8
A-0052,Mira,Novak,mira.novak@harlowcourt.example,Back-of-house,Tomasz Wieczorek,2019-08-02,20.5
A-0053,Marta,Okafor,marta.okafor@harlowcourt.example,Front of House,Tomasz Wieczorek,2026-01-06,24.9
A-0054,Oscar,Pemberton,oscar.pemberton@harlowcourt.example,Reception,Marta Okafor,2025-10-08,21.8
A-0055,Petra,Quinlan,petra.quinlan@harlowcourt.example,Front of House,Ines Duarte,2022-11-06,20.4
A-0056,Rafael,Rasmussen,rafael.rasmussen@harlowcourt.example,Back-of-house,Ines Duarte,2025-08-17,24.1
A-0057,Saoirse,Szabo,saoirse.szabo@harlowcourt.example,Housekeeping,Marta Okafor,2022-07-11,16.4
A-0058,Tevita,Tanaka,tevita.tanaka@harlowcourt.example,Back of House,Ines Duarte,2024-07-03,28.3
A-0059,Ulla,Abara,ulla.abara@harlowcourt.example,House Keeping,Marta Okafor,4 March 2026,18.1
A-0060,Viktor,Bergqvist,viktor.bergqvist@harlowcourt.example,Reception,Tomasz Wieczorek,2025-09-03,32
A-47,Hana,Ivanova,hana.ivanova@harlowcourt.example,Front of House,Priya Raman,2020-09-05,35
A-0062,Callum,Eriksen,callum.eriksen@harlowcourt.example,Back of House,Marta Okafor,2019-09-28,39.2
A-0063,Dilara,Fahey,dilara.fahey@harlowcourt.example,Front of House,Ines Duarte,2024-02-15,33.8
A-0064,Emeka,Gallardo,emeka.gallardo@harlowcourt.example,Back-of-house,Marta Okafor,2020-06-13,35.6
A-0065,Fiona,Haugen,fiona.haugen@harlowcourt.example,Reception,Priya Raman,2023-01-25,34.1
A-0066,Grigor,Ivanova,grigor.ivanova@harlowcourt.example,Maintenance,Priya Raman,2025-10-29,24
A-0067,Hana,Jarrett,hana.jarrett@harlowcourt.example,Housekeeping,Ines Duarte,2021-04-18,28.3
A-0068,Iustin,Kovac,iustin.kovac@harlowcourt.example,Back-of-house,Ines Duarte,2020-11-30,23.6
A-0069,Joana,Lindqvist,joana.lindqvist@harlowcourt.example,Back-of-house,Ines Duarte,2020-11-09,33.9
A-0070,Kwame,Marchetti,kwame.marchetti@harlowcourt.example,Back of House,Priya Raman,2023-05-18,17.4
A-0071,Liesel,Novak,liesel.novak@harlowcourt.example,Front of House,Marta Okafor,2019-03-16,21.7
A-0072,Mira,Ostrowski,mira.ostrowski@harlowcourt.example,Front of House,Marta Okafor,17/03/2026,26.9
