Date,Opponent,##,Player Name,TOT-FG,3-PT,FT,OF,DE,TOT,PF,TP,A,TO,BLK,S,MIN
11/12/2020,Oakhaven,35,Kwame Pilkington,9-9,5-5,1-3,3,4,7,1,24,5,0,2,1,25
11/12/2020,Oakhaven,45,Bo Janowski,10-11,0-0,1-1,4,2,6,3,21,1,2,0,2,29
11/12/2020,Oakhaven,55,Emeka Yeboah,5-6,3-4,0-7,5,5,10,5,13,4,6,1,1,33
11/12/2020,Oakhaven,10,Hollis Vantrease,4-7,4-7,1-3,1,6,7,3,13,7,1,3,1,32
11/12/2020,Oakhaven,42,Wendell Bramwell,1-16,1-9,1-7,2,3,5,3,4,3,6,1,2,38
11/12/2020,Oakhaven,02,Nikola Tolliver,,,,,,,,,,,,,DNP
11/12/2020,Oakhaven,12,Zeke Whitlock,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
11/12/2020,Oakhaven,04,Solomon Stanhope,0-2,0-1,2-2,1,1,2,0,2,2,1,1,0,11
11/12/2020,Oakhaven,50,Emeka Kealoha,4-5,0-1,2-3,2,0,2,2,10,3,2,1,1,15
11/12/2020,Oakhaven,15,Kwame Hazlett,,,,,,,,,,,,,DNP
11/12/2020,Oakhaven,05,Ugo Zeller,,,,,,,,,,,,,DNP
11/12/2020,Oakhaven,24,Bo Yeboah,5-7,1-1,0-0,1,0,1,2,11,2,1,1,1,15
11/12/2020,Oakhaven,,TEAM,,,,5,3,8,,,,3,,,
11/12/2020,Oakhaven,,Totals,38-63,14-28,8-26,24,24,48,19,98,27,22,10,9,200
11/18/2020,Quarry Ridge,35,Kwame Pilkington,0-6,0-2,0-2,0,1,1,3,0,2,2,2,2,18
11/18/2020,Quarry Ridge,45,Bo Janowski,2-2,0-2,2-3,3,2,5,3,5,3,2,1,2,27
11/18/2020,Quarry Ridge,55,Emeka Yeboah,0-6,0-6,6-6,3,2,5,4,6,3,2,1,3,26
11/18/2020,Quarry Ridge,10,Hollis Vantrease,6-12,1-4,4-5,2,0,2,3,17,2,0,1,0,24
11/18/2020,Quarry Ridge,42,Wendell Bramwell,6-6,2-2,0-2,0,0,0,4,14,2,3,2,0,27
11/18/2020,Quarry Ridge,02,Nikola Tolliver,1-1,0-1,0-2,1,2,3,0,2,0,2,1,0,11
11/18/2020,Quarry Ridge,12,Zeke Whitlock,0-1,0-1,1-1,0,0,0,0,1,2,1,0,0,9
11/18/2020,Quarry Ridge,04,Solomon Stanhope,0-2,0-2,0-1,2,3,5,2,0,0,1,1,0,14
11/18/2020,Quarry Ridge,50,Emeka Kealoha,,,,,,,,,,,,,DNP
11/18/2020,Quarry Ridge,15,Kwame Hazlett,7-9,0-2,1-2,2,1,3,1,15,0,2,2,1,19
11/18/2020,Quarry Ridge,05,Ugo Zeller,0-2,0-1,0-1,0,1,1,1,0,1,0,0,0,8
11/18/2020,Quarry Ridge,24,Bo Yeboah,1-8,1-3,1-3,2,1,3,1,4,4,3,0,0,18
