Prop,Property,Property Address,Unit,SqFt,Beds,Baths,Status,Resident,Email,Lease From,Lease To,Market Rent,Rent
GRN,Greenfield Commons,1400 Greenfield Road,A101,689,1,1,Occupied,"Villanueva, Nadim",nadim.villanueva@mail.example.net,2025-11-08,2026-09-01,"1,565.00","$1,565.00"
GRN,GREENFIELD COMMONS,1400 Greenfield Rd,A102,710,1,1,Vacant-Ready,,,,,"$1,535.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A103,"1,039",2,1,MTM,"Sorokin, Tamsin",tamsin.sorokin@example.com,2024-09-24,2025-05-05,"1,875.00","1,850.00"
GRN,Greenfield Commons,1400 Greenfield Road,A104,"1,266",3,2,Occupied,"Jelinek, Amara",amara.jelinek@example.com,2025-10-06,2026-05-30,"2,435.00","2,375.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A105,772,1,1,Occupied,"Tavares, Wilhelmina",wilhelmina.tavares@example.com,2026-06-28,2027-04-14,"$1,655.00","1,615.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A106,966,2,1,Occupied,"Ubaldi, Amara",amara.ubaldi@example.org,2025-04-19,2025-12-27,"$2,025.00","$1,965.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A107,"1,011",2,1.5,Occ,"Kowalczyk, Nadim",nadim.kowalczyk@example.com,2024-09-10,,"$2,065.00","$2,025.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A107,"1,011",2,1.5,Occupied,"Calderon, Yannick",yannick.calderon@example.com,2024-11-24,2025-06-22,"2,065.00","$2,050.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A108,"1,291",3,2,Occupied,"Mwangi, Aurelio",aurelio.mwangi@example.com,2024-03-04,2025-01-30,"$2,450.00","$2,400.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A109,723,1,1,Vacant,,,,,"1,535.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A110,"1,290",3,2,Vacant,,,,,"2,325.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A111,735,1,1,Occupied,"Yoshida, Tamsin",tamsin.yoshida@mail.example.net,2026-03-13,2027-04-11,"1,610.00","$1,600.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A112,"1,049",2,2,Occupied,"Dupont, Zora",zora.dupont@example.com,2024-08-02,2025-02-27,"1,820.00","$1,790.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A113,991,2,2,Occupied,"Pemberton, Valentina",valentina.pemberton@example.com,2026-03-01,2027-03-15,"1,895.00","$1,870.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A114,448,0,1,Occupied,"Wexler, Greta",greta.wexler@mail.example.net,2026-03-19,2027-01-21,"$1,150.00","1,130.00"
