Freelancer,Work Date,Started,Finished,Hours
R. Ashwell,2026-03-10,9:00 AM,5:15 PM,8.25
D. Ferreira,2026-03-10,9:45 AM,5:15 PM,7.5
P. Lindqvist,2026-03-23,8:15 AM,3:45 PM,7.5
P. Lindqvist,2026-03-12,9:30 AM,3:45 PM,6.25
R. Ashwell,2026-03-15,9:45 AM,6:15 PM,8.5
J. Okonkwo,2026-03-07,8:00 AM,2:15 PM,6.25
P. Lindqvist,2026-03-09,8:15 AM,5:30,9.25
M. Tarrant,2026-03-27,10:30 AM,6:00 PM,7.5
R. Ashwell,2026-03-08,10:30 AM,7:15 PM,8.75
R. Ashwell,2026-03-10,10:30 AM,7:30 PM,9
J. Okonkwo,2026-03-12,8:30 AM,3:15 PM,6.75
D. Ferreira,2026-03-03,9:00 AM,4:30 PM,7.5
P. Lindqvist,2026-03-26,9:15 AM,3:45 PM,6.5
R. Ashwell,2026-03-19,9:30 AM,5:45 PM,8.25
D. Ferreira,2026-03-02,8:45 AM,4:15 PM,7.5
R. Ashwell,2026-03-11,10:00 AM,4:30 PM,6.5
P. Lindqvist,2026-03-02,8:00 AM,2:45 PM,6.75
P. Lindqvist,2026-03-23,9:00 AM PST,4:00 PM,7
P. Lindqvist,2026-03-13,9:30 AM,4:15 PM,6.75
R. Ashwell,2026-03-02,10:15 AM,7:15 PM,9
J. Okonkwo,2026-03-25,8:15 AM,3:30 PM,7.25
P. Lindqvist,2026-03-13,8:15 AM,2:15 PM,6
D. Ferreira,2026-03-26,9:00 AM,4:30 PM,7.5
P. Lindqvist,2026-03-09,8:00 PM,12:00 AM,4
P. Lindqvist,2026-03-14,9:30 AM,5:15 PM,7.75
S. Marchetti,2026-03-19,10:15 AM,4:30 PM,6.25
D. Ferreira,2026-03-23,10:00 AM,5:45 PM,7.75
R. Ashwell,2026-03-23,9:00 AM,5:30 PM,8.5
P. Lindqvist,2026-03-08,8:30 AM,5:00 PM,8.5
D. Ferreira,2026-03-08,10:30 AM,5:00 PM,6.5
R. Ashwell,2026-03-25,9:45 AM,5:15 PM,7.5
S. Marchetti,2026-03-23,9:15 AM,5:00 PM,7.75
P. Lindqvist,2026-03-13,8:30 AM,3:15 PM,6.75
R. Ashwell,2026-03-25,8:30 AM,3:15 PM,6.75
R. Ashwell,2026-03-11,8:00 AM,3:00 PM,7
R. Ashwell,2026-03-25,10:00 AM,6:30 PM,8.5
M. Tarrant,2026-03-09,10:30 AM,6:00 PM,7.5
P. Lindqvist,2026-03-19,9:45 AM,4:15 PM,6.5
J. Okonkwo,2026-03-09,8:00 AM,4:45 PM,8.75
