Policy Number,Trans Code,Trans Date,Policy Eff Date,Policy Exp Date,LOB Code,Policy Holder Name,Carrier,Bill Type,Premium,Comm Percent,Comm Amount,Producer Code
VN551554629,NBS,2022-12-20,2023-01-07,2024-01-07,Commercial Property,"Marchetti Foundry, Co",Valebrook National,A,57639.75,0.15,8645.96,
NS-742994,NBS,2022-12-24,01/05/2023,2024-01-05,Commercial Property,"Ostrander Bakery, LLC",Northgate Specialty Lines,Agency,17455.5,15,"2,618.32",GBY-06
SFM54918094,New Business,2022-12-30,2023-01-14,01/14/2024,General Liability,"Nyquist Contracting, Inc",Stanwick Fire & Marine,AB,23714.1,15,3557.12,HFN-04
NS-795288,N/B,2023-01-04,2023-01-15,2024-01-15,WORK,Dupree Excavating,NORTHGATE SPEC,DB,"60,177.58",12,"$7,221.31",HFN-04
KC9522547,N/B,2023-01-04,01/16/2023,01/16/2024,Personal Auto,Malachy Aldridge,Kemwood Casualty,D,$873.21,0.175,152.81,HFN-04
SFM21287702,NBS,2023-01-08,2023-01-23,2024-01-23,WORKERS COMPENSATION,"Kessler Millwork, Inc",Stanwick F & M,Agency Bill,36501.35,17.5,6387.74,TRW-02
SFM94011300,NEW,2023-01-08,2023-01-26,01/26/2024,Work Comp,Rennick Foundry,Stanwick Fire & Marine,A,"$7,230.39",0.175,"$1,265.32",MCL-15
AM-75109662,NEW,2023-01-11,2023-01-13,2023-07-14,HOME,Freya Mercier,ARDSLEY MUTUAL INS CO,D,1181.22,15,$177.18,MCL-15
PI-8071041,New Business,2023-01-15,2023-01-29,2024-01-29,Commercial Property,"Petrossian Foundry, LLC",Pelham Indemnity,Agency Bill,7194.69,15,1079.2,HFN-04
SFM12576352,NBS,2023-01-16,2023-01-24,01/24/2024,Commercial Auto,BRAMBLE WELDING LLC,Stanwick Fire & Marine,A,"$44,120.97",0.15,6618.15,MCL-15
NS-180852,NEW,2023-01-18,2023-01-19,01/19/2024,CGL,"Petrossian Printing, Co",NORTHGATE SPEC,Direct,10654.66,15,1598.2,MCL-01
KC8695089,NBS,2023-01-19,2023-01-19,2024-01-19,WORKERS COMPENSATION,"Rennick Excavating, Corp",KEMWOOD CAS,AGENCY BILL,50454.16,12.5,6306.77,HFN-11
AM-44575271,NBS,2023-01-24,2023-01-24,2024-01-24,WORK,"Standish Machine Works, LLC",Ardsley Mutual,A,18046.92,17.5,"3,158.21",HFN-11
KC3242103,NEW,2023-01-25,2023-02-02,2024-02-02,BAUTO,"Delacroix Electrical, Inc",Kemwood,Agency Bill,"68,867.70",15%,"$10,330.15",HFN-04
SFM85706852,New Business,2023-01-31,2023-02-12,2024-02-12,BAUTO,"Lindqvist Freight, Ltd",Stanwick Fire & Marine,A,"$57,632.63",15,8644.89,MCL-01
KC4781119,NBS,2023-02-01,2023-02-07,2024-02-07,Personal Auto,Emeric Guerrero,Kemwood Casualty Co,D,"$3,319.91",15,497.99,
KC2779576,New Business,2023-02-02,2023-02-15,2024-02-15,CPROP,Ferraro Landscaping,Kemwood Casualty Co,AB,"20,552.88",.125,2569.11,GBY-06
NS-122990,NBS,2023-02-03,02/21/2023,02/21/2024,Gen Liab,RENNICK BAKERY INC,NORTHGATE SPEC,AGENCY BILL,"$46,710.50",15,"$7,006.58",HFN-11
NS-362862,NBS,2023-02-03,2023-02-10,2024-02-10,PAUTO,Noor Okonkwo,Northgate Specialty,DB,"3,139.81",15%,$470.97,TRW-02
PI-0221339,NBS,2023-02-04,2023-02-13,02/13/2024,Auto,"Fairweather Excavating, Corp",PELHAM IND,AGENCY BILL,"15,532.89",10,"$1,553.29",MCL-15
AM-82114865,NBS,2023-02-06,02/21/2023,02/21/2024,CGL,"Boyne Fabrication, LLC",Ardsley Mut,D,26622.26,20,5324.45,GBY-06
PI-9153728,New Business,2023-02-07,2023-02-22,2024-02-22,General Liability,"Tolliver Millwork, Inc",Pelham Indemnity,Direct Bill,51844.65,12.5,6480.58,TRW-08
SFM33966980,NBS,2023-02-08,2023-02-10,2024-02-10,Comm Prop,"Ferraro Welding, LLC",Stanwick Fire and Marine,D,32685.05,15,4902.76,MCL-01
SFM91505738,N/B,2023-02-08,2023-02-24,2023-08-25,Homeowners,Josefa Bhattacharya,Stanwick Fire & Marine,D,2590.32,10,259.03,HFN-04
VN812259098,NEW,2023-02-08,02/19/2023,02/19/2024,Commercial Auto,"Delacroix Produce, LLC",Valebrook Nat'l,D,52543.96,17.5%,"$9,195.19",GBY-22
SFM26542511,NBS,2023-02-10,2023-02-19,2024-02-19,BAUTO,ARBOGAST FOUNDRY INC,Stanwick Fire and Marine,A,44120.45,15,"6,618.07",GBY-06
NS-146730,New Business,2023-02-11,2023-02-17,2024-02-17,PROP,"Boyne Auto Body, Inc",NORTHGATE SPEC,Agency Bill,"$55,112.00",0.2,"$11,022.40",GBY-22
NS-279857,NBS,2023-02-11,2023-02-24,2024-02-24,Commercial Property,"Arbogast Foundry, Inc",Northgate Specialty Lines,A,"$31,261.24",0.2,"$6,252.25",MCL-01
NS-480572,NBS,2023-02-12,2023-02-14,02/14/2024,HOME,Beatriz Petrakis,Northgate Specialty,Direct,3441.21,17.5,602.21,TRW-02
SFM14955130,NBS,2023-02-13,2023-02-28,2024-02-28,BAUTO,"Halvorsen Excavating, Inc",Stanwick Fire and Marine,AB,"60,024.74",0.12,7202.97,MCL-01
PI-9118699,New Business,2023-02-13,02/18/2023,2024-02-18,CPROP,"Lindqvist Excavating, Co",Pelham Indemnity Group,DIRECT BILL,63314.94,12.5,"7,914.37",
VN853711097,NEW,2023-02-13,2023-02-14,2024-02-14,GL,Ostrander Dairy,Valebrook Nat'l,D,20988.23,,3148.23,HFN-11
KC0036542,New Business,2023-02-15,2023-02-19,2024-02-19,Homeowners,Vidal Novotny,KEMWOOD CAS,D,3136.79,17.5,548.94,MCL-01
AM-49182384,New Business,2023-02-18,2023-02-26,2024-02-26,BAUTO,"Arbogast Landscaping, Inc",Ardsley Mutual,Direct Bill,10303.61,12.5,"$1,287.95",
SFM00539905,New Business,2023-02-20,02/27/2023,2024-02-27,WORK,Calloway Haulage,Stanwick Fire & Marine,D,"$56,142.89",20,11228.58,MCL-01
NS-517093,NBS,2023-02-22,03/09/2023,2024-03-08,Gen Liab,Dupree Fabrication,Northgate Specialty Lines,Direct,4751.76,15,712.76,MCL-15
PI-4377229,NEW,2023-02-23,2023-03-07,2024-03-06,Commercial Property,"Tolliver Cabinetry, Corp",Pelham Indemnity,DB,41316.77,0.125,"5,164.60",MCL-01
KC4204142,NBS,2023-02-28,03/08/2023,2024-03-07,CPROP,"Renfro Fabrication, Co",KEMWOOD CAS,Direct Bill,"31,415.94",20,6283.19,TRW-02
KC9747020,NBS,2023-03-02,03/17/2023,2024-03-16,GL,"Tolliver Auto Body, LLC",KEMWOOD CAS,A,24969.61,12,2996.35,MCL-15
SFM67639936,New Business,2023-03-03,2023-03-07,03/06/2024,GL,"Delacroix Cabinetry, Corp",Stanwick Fire & Marine,A,51487.06,15,7723.06,GBY-06
SFM67952841,New Business,2023-03-03,2023-03-15,2024-03-14,CAUTO,"Kowalczyk Cold Storage, Corp",Stanwick F & M,Agency,"$53,100.72",12.5,6637.59,GBY-22
AM-80481190,NBS,2023-03-11,2023-03-11,2024-03-10,Workers Comp,"Rennick Millwork, LLC",ardsley mutual,AGENCY BILL,"23,395.12",0.1,2339.51,MCL-01
SFM91505738,Policy Change,2023-03-12,2023-03-10,2023-08-25,Homeowners,Josefa Bhattacharya,STANWICK F&M,Direct Bill,458.24,0.1,45.82,HFN-04
PI-9118699,PCH,2023-03-13,2023-03-12,,PROP,LINDQVIST EXCAVATING CO,PELHAM IND,Direct Bill,2133.94,12.5,266.74,HFN-11
PI-9064826,NBS,2023-03-19,2023-03-20,2023-09-18,HO,Noor Sandoval,Pelham Indemnity,DB,"$3,352.00",12,402.24,HFN-11
NS-279857,endorsement,2023-03-20,2023-03-19,2024-02-24,Comm Prop,"Arbogast Foundry, Inc",Northgate Specialty,Agency Bill,"$4,702.96",20,940.59,MCL-01
PI-4852208,NBS,2023-03-20,2023-03-27,2024-03-26,PROP,"Bramble Electrical, Co",Pelham Ind.,DB,"66,257.94",12.5,8282.24,HFN-11
AM-79385994,New Business,2023-03-21,04/06/2023,2024-04-05,CGL,MARCHETTI MACHINE WORKS LLC,Ardsley Mutual,Direct,28627.2,0.175,5009.76,MCL-15
NS-362862,Policy Change,2023-03-22,2023-03-13,2024-02-10,Personal Auto,Noor Okonkwo,Northgate Specialty,Direct Bill,-370.76,15,-55.61,TRW-02
KC2476920,NBS,2023-03-26,2023-04-12,2024-04-11,CPROP,"Trask Produce, LLC",Kemwood Casualty Co,A,71881.31,15,10782.2,HFN-11
NS-742994,PCH,2023-03-28,2023-03-25,,CPROP,"Ostrander Bakery, LLC",Northgate Specialty,AB,-840.81,15,-126.12,GBY-06
AM-75109662,PCH,2023-03-28,03/19/2023,2023-07-14,HOME,Freya Mercier,Ardsley Mutual,D,169.96,15,25.49,MCL-15
KC8896428,New Business,2023-04-02,04/15/2023,10/14/2023,HO3,Vidal Sturgeon,Kemwood Casualty,Direct,"$2,659.49",12.5,332.44,GBY-06
SFM76988811,NBS,2023-04-06,2023-04-19,2024-04-18,Workers Comp,"Boyne Machine Works, LLC",STANWICK F&M,A,1916.23,12%,$229.95,HFN-04
PI-4796429,NEW,2023-04-06,2023-04-11,04/10/2024,Gen Liab,"Arbogast Fabrication, Co",Pelham Indemnity Group,Agency Bill,"36,407.75",.125,"$4,550.97",HFN-04
VN812259098,XLC,2023-04-06,2023-03-25,,Comm Auto,"Delacroix Produce, LLC",Valebrook National,D,-47649.45,17.5,"-$8,338.65",GBY-22
NS-074979,New Business,2023-04-07,2023-04-15,2024-04-14,WORK,"Dupree Millwork, LLC",Northgate Specialty,Agency Bill,2292.64,10,229.26,TRW-02
NS-480218,New Business,2023-04-08,2023-04-25,2024-04-24,UMBR,"Calloway Haulage, LLC",Northgate Specialty,Direct Bill,1878,12.5,234.75,MCL-01
NS-222015,NEW,2023-04-08,2023-04-21,2024-04-20,BAUTO,"Wexler Cabinetry, Corp",NORTHGATE SPEC,AGENCY BILL,"$8,301.58",15,1245.24,HFN-04
NS-517093,XLC,2023-04-09,2023-04-05,,General Liability,Dupree Fabrication,Northgate Specialty Lines,D,-4400.26,0.15,-660.04,MCL-15
SFM91194342,NEW,2023-04-11,2023-04-20,2024-04-19,Workers Comp,"Kowalczyk Cold Storage, Co",Stanwick Fire & Marine,DB,59993.88,17.5,"$10,498.93",TRW-02
SFM67952841,Endorsement,2023-04-12,04/06/2023,2024-03-14,Comm Auto,"Kowalczyk Cold Storage, Corp",Stanwick Fire and Marine,Agency Bill,"$2,910.59",12.5,363.82,
PI-6433226,New Business,2023-04-13,04/16/2023,2024-04-15,Comm Umbrella,"Underhill Fabrication, Inc",Pelham Indemnity,D,14948.28,15,2242.24,MCL-15
SFM42897553,NBS,2023-04-17,2023-05-01,2024-04-30,GL,"Kessler Haulage, LLC",Stanwick F & M,AGENCY BILL,2747.45,12.5,$343.43,GBY-06
KC0204509,N/B,2023-04-17,2023-04-22,2024-04-21,PPA,Terrence Novotny,Kemwood Casualty,DIRECT BILL,946.2,12,113.54,
VN461565437,NEW,2023-04-17,2023-04-26,2024-04-25,WORK,"Underhill Excavating, LLC",Valebrook National,DIRECT BILL,"61,542.70",15,9231.4,HFN-04
AM-22493265,New Business,2023-04-18,04/21/2023,04/20/2024,CAUTO,"Calloway Fabrication, Ltd",Ardsley Mut,Direct Bill,"1,985.75",,297.86,MCL-01
AM-32095413,NBS,2023-04-19,05/02/2023,05/01/2024,Comm Umbrella,Standish Electrical,ARDSLEY MUTUAL INS CO,Agency,"$44,404.34",.175,"$7,770.76",GBY-06
AM-82114865,END,2023-04-19,04/18/2023,2024-02-21,CGL,"Boyne Fabrication, LLC",ARDSLEY MUTUAL INS CO,D,"-3,936.46",20,-787.29,GBY-06
VN247075557,New Business,2023-04-19,2023-04-26,2024-04-25,Umbrella,"Ferraro Fabrication, LLC",Valebrook,A,63894.21,15,"$9,584.13",MCL-01
VN415713182,NEW,2023-04-20,04/21/2023,04/20/2024,CGL,"Wexler Freight, LLC",Valebrook National,A,68877.34,15,10331.6,TRW-02
SFM27603205,NBS,2023-04-26,2023-05-03,2024-05-02,PAUTO,Terrence Okonkwo,Stanwick Fire & Marine,A,955.92,0.175,$167.29,TRW-08
NS-140605,NBS,2023-04-28,2023-05-12,2024-05-11,Workers Comp,"Trask Foundry, Ltd",Northgate Specialty,Agency,26518.85,12,"$3,182.26",GBY-22
SFM97075609,NBS,2023-05-03,2023-05-15,2024-05-14,PPA,Rutger Thorne,Stanwick Fire & Marine,Agency,1408.08,.175,246.41,MCL-01
NS-960456,NBS,2023-05-03,2023-05-21,2024-05-20,CGL,"Rennick Millwork, Ltd",Northgate Specialty Lines,Agency,32502.5,10,"$3,250.25",GBY-22
VN745433764,NBS,2023-05-04,2023-05-12,2024-05-11,Work Comp,"Boyne Roofing, LLC",Valebrook National,Agency Bill,6384.54,15,957.68,TRW-08
VN323242602,NBS,2023-05-05,05/23/2023,2024-05-22,GL,"Calloway Produce, LLC",Valebrook,Agency,"$45,898.75",20%,"9,179.75",MCL-15
NS-219461,NBS,2023-05-05,05/17/2023,2023-11-15,HO,Marguerite Novotny,NORTHGATE SPEC,Direct Bill,512.86,12,61.54,HFN-11
PI-6433226,Endorsement,2023-05-05,2023-04-27,04/15/2024,Umbrella,"Underhill Fabrication, Inc",PELHAM IND,Direct Bill,2319.56,0.15,$347.93,MCL-15
KC4781119,Endorsement,2023-05-09,2023-05-01,2024-02-07,PAUTO,Emeric Guerrero,Kemwood Casualty,Direct Bill,$477.54,15,71.63,TRW-08
VN346225661,NBS,2023-05-09,2023-05-19,2024-05-18,BAUTO,"Marchetti Haulage, LLC",Valebrook National,Agency,61358.89,17.5,10737.81,GBY-06
NS-842675,New Business,2023-05-10,2023-05-16,2024-05-15,Personal Auto,Yolanda Aldridge,Northgate Specialty Lines,D,"$1,925.33",0.1,$192.53,TRW-02
AM-88318436,NBS,2023-05-10,05/25/2023,2024-05-24,GL,"Halvorsen Printing, LLC",ARDSLEY MUTUAL INS CO,AGENCY BILL,6387.81,15,958.17,TRW-08
NS-615588,NBS,2023-05-11,2023-05-22,2024-05-21,Workers Comp,"Marchetti Welding, Corp",Northgate Specialty Lines,AB,44772.69,12.5,"5,596.59",GBY-22
VN332954960,N/B,2023-05-11,2023-05-19,2024-05-18,GL,"Standish Roofing, Inc",VALEBROOK NATL,A,33577.7,10,3357.77,
NS-096203,NBS,2023-05-11,2023-05-15,2024-05-14,PROP,BRAMBLE PLUMBING AND HEATING INC,Northgate Specialty,Agency Bill,19042.65,.12,2285.12,TRW-08
SFM86423846,NBS,2023-05-11,2023-05-28,2024-05-27,Homeowners,Osman Castellanos,Stanwick Fire & Marine,Direct,1744.45,20%,348.89,MCL-01
NS-580396,New Business,2023-05-12,2023-05-12,2024-05-11,WORK,"Wexler Machine Works, Inc",Northgate Specialty,Agency Bill,"$36,444.54",12.5,"4,555.57",
SFM81508876,New Business,2023-05-13,2023-05-16,2024-05-15,Homeowners,"Vasquez, Malachy",STANWICK F&M,Agency Bill,3357.96,0.15,$503.69,GBY-22
